id;uri;data;dataHoraRegistro;siglaOrgao;uriOrgao;uriEvento;proposicaoObjeto;uriProposicaoObjeto;descricao;aprovacao
589690-57;https://dadosabertos.camara.leg.br/api/v2/votacoes/589690-57;2020-02-19;2020-02-19T13:40:03;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;https://dadosabertos.camara.leg.br/api/v2/eventos/59344;;;Aprovada a Redação Final assinada pela Relatora, Dep. Marina Santos (SOLIDARIEDADE-PI).;1.0
589690-54;https://dadosabertos.camara.leg.br/api/v2/votacoes/589690-54;2020-02-19;2020-02-19T13:37:40;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;https://dadosabertos.camara.leg.br/api/v2/eventos/59344;;;Aprovado o Substitutivo ao Projeto de Lei 6.215, de 2013, adotado pela Relatora da Comissão de Constituição e Justiça e de Cidadania.;1.0
2128847-95;https://dadosabertos.camara.leg.br/api/v2/votacoes/2128847-95;2020-02-19;2020-02-19T12:57:32;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;https://dadosabertos.camara.leg.br/api/v2/eventos/59344;;;Aprovado o Projeto de Lei nº 7.354, de 2017.;1.0
2237668-2;https://dadosabertos.camara.leg.br/api/v2/votacoes/2237668-2;2020-02-18;2020-02-18T21:17:43;CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/orgaos/538474;https://dadosabertos.camara.leg.br/api/v2/eventos/59312;REQ 6/2020 CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237668;Aprovado.;1.0
2237667-2;https://dadosabertos.camara.leg.br/api/v2/votacoes/2237667-2;2020-02-18;2020-02-18T21:17:43;CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/orgaos/538474;https://dadosabertos.camara.leg.br/api/v2/eventos/59312;REQ 5/2020 CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237667;Aprovado.;1.0
2237666-2;https://dadosabertos.camara.leg.br/api/v2/votacoes/2237666-2;2020-02-18;2020-02-18T21:17:43;CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/orgaos/538474;https://dadosabertos.camara.leg.br/api/v2/eventos/59312;REQ 4/2020 CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237666;Aprovado.;1.0
2237665-2;https://dadosabertos.camara.leg.br/api/v2/votacoes/2237665-2;2020-02-18;2020-02-18T21:17:43;CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/orgaos/538474;https://dadosabertos.camara.leg.br/api/v2/eventos/59312;REQ 3/2020 CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237665;Aprovado.;1.0
2237664-2;https://dadosabertos.camara.leg.br/api/v2/votacoes/2237664-2;2020-02-18;2020-02-18T21:17:43;CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/orgaos/538474;https://dadosabertos.camara.leg.br/api/v2/eventos/59312;REQ 2/2020 CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237664;Aprovado.;1.0
2237663-2;https://dadosabertos.camara.leg.br/api/v2/votacoes/2237663-2;2020-02-18;2020-02-18T21:17:43;CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/orgaos/538474;https://dadosabertos.camara.leg.br/api/v2/eventos/59312;REQ 1/2020 CEXVENEZ;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2237663;Aprovado.;1.0
2222884-108;https://dadosabertos.camara.leg.br/api/v2/votacoes/2222884-108;2020-02-18;2020-02-18T21:04:44;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;https://dadosabertos.camara.leg.br/api/v2/eventos/59338;;;Aprovada a Redação Final assinada pelo Relator, Dep. Pedro Lupion (DEM-PR).;1.0
